-0.637308,0.348965,-0.642484,-0.149329,0.133974,0.20348
2.07483,0.903657,-3.61869,1.55021,0.695014,-2.79331
0.572579,0.673447,0.808013,0.140014,0.0981173,0.113835
-1.40246,0.673447,-0.807082,-0.632452,0.367118,-0.244771
-3.59134,-3.83049,-2.40554,-2.95592,-3.2133,-1.94152
-3.59134,-3.83049,-2.40554,-2.95592,-3.2133,-1.94152
1.49306,-0.0151443,-0.474665,0.549649,0.201146,-0.223288
1.0035,0.712789,-0.344219,0.185965,0.179704,-0.126382
-0.0139894,0.38642,0.466471,0.33583,0.241078,-0.459003
-0.262855,0.335248,0.703142,0.144902,0.208291,-0.201079
-0.262855,0.335248,0.703142,0.144902,0.208291,-0.201079
0.149183,0.44383,-0.871963,-0.175568,0.232137,0.0498409
